Air conditioning,301
BBQ grill,21
Baby bath,2
Babysitter recommendations,2
Bathtub,4
Bed linens,144
Breakfast,129
Building staff,103
Cable TV,187
Carbon monoxide detector,47
Changing table,2
Children‰Ûªs books and toys,23
Children‰Ûªs dinnerware,2
Cleaning before checkout,13
Coffee maker,60
Cooking basics,117
Crib,2
Dishes and silverware,113
Dishwasher,9
Dryer,132
EV charger,7
Elevator,78
Essentials,312
Ethernet connection,14
Extra pillows and blankets,108
Fire extinguisher,148
Fireplace guards,1
First aid kit,215
Free parking on premises,180
Free street parking,150
Game console,2
Garden or backyard,42
Gym,21
Hair dryer,199
Hangers,276
Heating,202
High chair,13
Host greets you,123
Hot tub,7
Hot water,247
Indoor fireplace,4
Iron,238
Kitchen,264
Lake access,1
Laptop friendly workspace,265
Lock on bedroom door,152
Lockbox,2
Long term stays allowed,187
Luggage dropoff allowed,156
Microwave,124
Outlet covers,1
Oven,49
Pack ‰Ûªn Play/travel crib,1
Paid parking off premises,31
Paid parking on premises,10
Patio or balcony,84
Pocket wifi,13
Pool,7
Private entrance,131
Private living room,21
Refrigerator,153
Room-darkening shades,17
Shampoo,260
Single level home,32
Ski in/Ski out,2
Smart lock,1
Smoke detector,66
Stair gates,10
Stove,113
TV,422
Table corner guards,1
Washer,204
Waterfront,8
Wifi,307
Window guards,8